Date/Time;Open;High;Low;Close;Range (high - low)
02/01/2002;1148.08;1154.67;1136.23;1154.67;18.44
03/01/2002;1154.67;1165.27;1154.01;1165.27;11.26
04/01/2002;1165.27;1176.55;1163.42;1172.52;13.13
07/01/2002;1172.51;1176.97;1163.55;1164.89;13.42
08/01/2002;1164.89;1167.60;1157.46;1160.71;10.14
09/01/2002;1160.71;1174.26;1151.89;1155.12;22.37
10/01/2002;1155.14;1159.93;1150.85;1156.55;9.08
11/01/2002;1156.55;1159.41;1145.45;1145.60;13.96
14/01/2002;1145.60;1145.60;1138.15;1138.41;7.45
15/01/2002;1138.41;1148.81;1136.88;1146.17;11.93
16/01/2002;1146.19;1146.19;1127.49;1127.57;18.70
17/01/2002;1127.57;1139.27;1127.57;1138.89;11.70
18/01/2002;1138.88;1138.88;1124.45;1127.58;14.43
22/01/2002;1127.58;1135.26;1117.91;1119.31;17.35
23/01/2002;1119.31;1131.94;1117.43;1128.18;14.51
24/01/2002;1128.18;1139.50;1128.18;1132.19;11.32
25/01/2002;1132.15;1138.31;1127.82;1133.28;10.49
28/01/2002;1133.28;1138.63;1126.66;1133.07;11.97
29/01/2002;1133.06;1137.47;1098.74;1100.64;38.73
30/01/2002;1100.64;1113.79;1081.66;1113.57;32.13
31/01/2002;1113.57;1130.18;1113.30;1130.18;16.88
01/02/2002;1130.20;1130.20;1118.51;1122.19;11.69
04/02/2002;1122.20;1122.20;1092.25;1094.44;29.95
05/02/2002;1094.44;1100.96;1082.58;1090.02;18.38
06/02/2002;1090.02;1093.58;1077.78;1083.54;15.80
07/02/2002;1083.51;1094.03;1078.44;1080.19;15.59
08/02/2002;1080.17;1096.30;1079.91;1096.22;16.39
11/02/2002;1096.22;1112.01;1094.68;1111.93;17.33
12/02/2002;1111.94;1112.68;1102.98;1107.50;9.70
13/02/2002;1107.50;1120.56;1107.50;1118.46;13.06
14/02/2002;1118.51;1124.72;1112.30;1116.48;12.42
15/02/2002;1116.48;1117.09;1103.23;1104.18;13.86
19/02/2002;1104.18;1104.18;1082.24;1083.21;21.94
20/02/2002;1083.34;1098.32;1074.36;1097.98;23.96
21/02/2002;1097.98;1101.50;1080.24;1080.95;21.26
22/02/2002;1080.95;1093.93;1074.39;1089.84;19.54
25/02/2002;1089.84;1112.71;1089.84;1109.43;22.87
26/02/2002;1109.43;1115.05;1101.72;1109.40;13.33
27/02/2002;1109.38;1123.06;1102.26;1109.89;20.80
28/02/2002;1109.89;1121.57;1106.73;1106.75;14.84
01/03/2002;1106.73;1131.79;1106.73;1131.78;25.06
04/03/2002;1131.78;1153.81;1130.93;1153.78;22.88
05/03/2002;1153.84;1157.74;1144.78;1146.14;12.96
06/03/2002;1146.14;1165.29;1145.11;1162.76;20.18
07/03/2002;1162.77;1167.94;1150.69;1157.54;17.25
08/03/2002;1157.54;1172.76;1157.54;1164.31;15.22
11/03/2002;1164.31;1173.03;1159.58;1168.26;13.45
12/03/2002;1168.26;1168.26;1154.34;1165.58;13.92
13/03/2002;1165.58;1165.58;1151.01;1154.09;14.57
14/03/2002;1154.09;1157.83;1151.08;1153.04;6.75
15/03/2002;1153.04;1166.48;1153.04;1166.16;13.44
18/03/2002;1166.16;1172.73;1159.14;1165.55;13.59
19/03/2002;1165.55;1173.94;1165.55;1170.29;8.39
20/03/2002;1170.29;1170.29;1151.61;1151.85;18.68
21/03/2002;1151.85;1155.10;1139.48;1153.58;15.62
22/03/2002;1153.59;1156.49;1144.60;1148.68;11.89
25/03/2002;1148.70;1151.04;1131.87;1131.87;19.17
26/03/2002;1131.87;1147;1131.61;1138.49;15.39
27/03/2002;1138.49;1146.95;1135.33;1144.58;11.62
28/03/2002;1144.58;1154.45;1144.58;1147.39;9.87
